Market_Name,Old_Market_Type,Old_Selection_Type,Old_SubType_Format,New_Market_Type,New_Selection_Type,New_SubType_Format,New_SubType,Client_Selection_Type
Game Handicap,TGHC,playerA,{a},FT:SPRD,AH,M#{a},,
Game Handicap,TGHC,playerB,{a},FT:SPRD,BH,M#{a},,
Set Betting,SB,2-0,,FT:CS,2-0,,,
Set Betting,SB,0-2,,FT:CS,0-2,,,
Set Betting,SB,2-1,,FT:CS,2-1,,,
Set Betting,SB,1-2,,FT:CS,1-2,,,
Set Betting,SB,3-0,,FT:CS,3-0,,,
Set Betting,SB,0-3,,FT:CS,0-3,,,
Set Betting,SB,3-1,,FT:CS,3-1,,,
Set Betting,SB,1-3,,FT:CS,1-3,,,
Set Betting,SB,3-2,,FT:CS,3-2,,,
Set Betting,SB,2-3,,FT:CS,2-3,,,
Match Betting,AB,playerA,,FT:ML,A,,,jinchen
Match Betting,AB,playerB,,FT:ML,B,,,
Total Games,TMTG,O,{a},FT:OU,Over,M#{a},,
Total Games,TMTG,U,{a},FT:OU,Under,M#{a},,
Player A Total Games,TP2T,O,{a},FT:OU:A,Over,M#{a},,
Player A Total Games,TP2T,U,{a},FT:OU:A,Under,M#{a},,
Player B Total Games,TP1T,O,{a},FT:OU:B,Over,M#{a},,
Player B Total Games,TP1T,U,{a},FT:OU:B,Under,M#{a},,
Tie Break in Match,TBIM,Y,,FT:TBIM,Yes,,,
Tie Break in Match,TBIM,N,,FT:TBIM,No,,,
Player A to win at least 1 set,ATWS,Y,,FT:W1S:A,Yes,,,
Player A to win at least 1 set,ATWS,N,,FT:W1S:A,No,,,
Player B to win at least 1 set,BTWS,Y,,FT:W1S:B,Yes,,,
Player B to win at least 1 set,BTWS,N,,FT:W1S:B,No,,,
Game Correct Score,TEGS,4-0,{a}-{b},G:CS,A-0,S{a}.{b},,
Game Correct Score,TEGS,4-1,{a}-{b},G:CS,A-15,S{a}.{b},,
Game Correct Score,TEGS,4-2,{a}-{b},G:CS,A-30,S{a}.{b},,
Game Correct Score,TEGS,5-3,{a}-{b},G:CS,A-AD,S{a}.{b},,
Game Correct Score,TEGS,0-4,{a}-{b},G:CS,B-0,S{a}.{b},,
Game Correct Score,TEGS,1-4,{a}-{b},G:CS,B-15,S{a}.{b},,
Game Correct Score,TEGS,2-4,{a}-{b},G:CS,B-30,S{a}.{b},,
Game Correct Score,TEGS,3-5,{a}-{b},G:CS,B-AD,S{a}.{b},,
