11/08/2017-Arsenal-Leicester, O_Home:2.31041, D_Home:1.02617, O_Away:1.57043, D_Away:1.20491, Rest Home76, Rest Away82, Win :0.64, Draw :0.2
12/08/2017-Brighton-Man City, O_Home:1.092, D_Home:1.35344, O_Away:2.47495, D_Away:0.81678, Rest Home195, Rest Away83, Win :0.11, Draw :0.19
12/08/2017-Chelsea-Burnley, O_Home:2.38821, D_Home:0.84274, O_Away:1.46096, D_Away:1.19359, Rest Home76, Rest Away82, Win :0.72, Draw :0.18
12/08/2017-Crystal Palace-Huddersfield, O_Home:1.49821, D_Home:1.23855, O_Away:1.08823, D_Away:1.4761, Rest Home82, Rest Away163, Win :0.6, Draw :0.24
12/08/2017-Everton-Stoke, O_Home:1.72097, D_Home:1.10524, O_Away:1.45825, D_Away:1.14792, Rest Home8, Rest Away82, Win :0.51, Draw :0.26
12/08/2017-Southampton-Swansea, O_Home:1.50367, D_Home:1.08257, O_Away:1.44439, D_Away:1.26363, Rest Home82, Rest Away82, Win :0.5, Draw :0.27
12/08/2017-Watford-Liverpool, O_Home:1.31603, D_Home:1.28985, O_Away:2.09566, D_Away:0.93278, Rest Home82, Rest Away82, Win :0.22, Draw :0.24
12/08/2017-West Brom-Bournemouth, O_Home:1.29426, D_Home:1.18772, O_Away:1.54617, D_Away:1.33385, Rest Home82, Rest Away82, Win :0.42, Draw :0.27
13/08/2017-Man United-West Ham, O_Home:2.10711, D_Home:0.70545, O_Away:1.53364, D_Away:1.23168, Rest Home80, Rest Away83, Win :0.71, Draw :0.2
13/08/2017-Newcastle-Tottenham, O_Home:1.2809, D_Home:1.35103, O_Away:2.19595, D_Away:0.84912, Rest Home196, Rest Away83, Win :0.17, Draw :0.22
19/08/2017-Bournemouth-Watford, O_Home:1.50373, D_Home:1.32044, O_Away:1.39012, D_Away:1.3166, Rest Home6, Rest Away7, Win :0.47, Draw :0.26
19/08/2017-Burnley-West Brom, O_Home:1.53378, D_Home:1.17967, O_Away:1.28114, D_Away:1.15254, Rest Home6, Rest Away6, Win :0.49, Draw :0.28
19/08/2017-Leicester-Brighton, O_Home:1.63556, D_Home:1.24459, O_Away:1.05035, D_Away:1.3535, Rest Home7, Rest Away6, Win :0.61, Draw :0.24
19/08/2017-Liverpool-Crystal Palace, O_Home:2.13415, D_Home:0.99162, O_Away:1.4398, D_Away:1.29813, Rest Home3, Rest Away6, Win :0.67, Draw :0.2
19/08/2017-Southampton-West Ham, O_Home:1.49281, D_Home:1.04444, O_Away:1.52159, D_Away:1.26461, Rest Home6, Rest Away5, Win :0.49, Draw :0.27
19/08/2017-Stoke-Arsenal, O_Home:1.422, D_Home:1.12128, O_Away:2.37512, D_Away:1.07456, Rest Home7, Rest Away7, Win :0.27, Draw :0.24
