Man. City,Team: Man. City, OFF: 2.9, DEF: 0.5, W: 32, D: 4, L: 2
Man. United,Team: Man. United, OFF: 2.1, DEF: 0.6, W: 25, D: 6, L: 7
Tottenham,Team: Tottenham, OFF: 2.5, DEF: 0.7, W: 23, D: 8, L: 7
Liverpool,Team: Liverpool, OFF: 2.9, DEF: 0.6, W: 21, D: 12, L: 5
Chelsea,Team: Chelsea, OFF: 2.3, DEF: 0.7, W: 21, D: 7, L: 10
Arsenal,Team: Arsenal, OFF: 2.8, DEF: 0.9, W: 19, D: 6, L: 13
Burnley,Team: Burnley, OFF: 1.5, DEF: 0.9, W: 14, D: 12, L: 12
Everton,Team: Everton, OFF: 1.7, DEF: 1.0, W: 13, D: 10, L: 15
Leicester City,Team: Leicester City, OFF: 1.9, DEF: 1.0, W: 12, D: 11, L: 15
Crystal Palace,Team: Crystal Palace, OFF: 1.9, DEF: 0.9, W: 11, D: 11, L: 16
Newcastle,Team: Newcastle, OFF: 1.6, DEF: 0.9, W: 12, D: 8, L: 18
Bournemouth,Team: Bournemouth, OFF: 1.8, DEF: 1.2, W: 11, D: 11, L: 16
West Ham,Team: West Ham, OFF: 1.7, DEF: 1.2, W: 10, D: 12, L: 16
Watford,Team: Watford, OFF: 1.6, DEF: 1.0, W: 11, D: 8, L: 19
Brighton,Team: Brighton, OFF: 1.4, DEF: 1.0, W: 9, D: 13, L: 16
Huddersfield,Team: Huddersfield, OFF: 1.2, DEF: 1.0, W: 9, D: 10, L: 19
Southampton,Team: Southampton, OFF: 1.6, DEF: 0.9, W: 7, D: 15, L: 16
Stoke City,Team: Stoke City, OFF: 1.4, DEF: 1.2, W: 7, D: 12, L: 19
Swansea City,Team: Swansea City, OFF: 1.3, DEF: 1.1, W: 8, D: 9, L: 21
West Brom,Team: West Brom, OFF: 1.4, DEF: 1.0, W: 6, D: 13, L: 19
